"species","body_mass_g"
"Adelie",3750
"Adelie",3800
"Adelie",3250
"Adelie",3450
"Adelie",3650
"Adelie",3625
"Adelie",4675
"Adelie",3475
"Adelie",4250
"Adelie",3300
"Adelie",3700
"Adelie",3200
"Adelie",3800
"Adelie",4400
"Adelie",3700
"Adelie",3450
"Adelie",4500
"Adelie",3325
"Adelie",4200
"Adelie",3400
"Adelie",3600
"Adelie",3800
"Adelie",3950
"Adelie",3800
"Adelie",3800
"Adelie",3550
"Adelie",3200
"Adelie",3150
"Adelie",3950
"Adelie",3250
"Adelie",3900
"Adelie",3300
"Adelie",3900
"Adelie",3325
"Adelie",4150
"Adelie",3950
"Adelie",3550
"Adelie",3300
"Adelie",4650
"Adelie",3150
"Adelie",3900
"Adelie",3100
"Adelie",4400
"Adelie",3000
"Adelie",4600
"Adelie",3425
"Adelie",2975
"Adelie",3450
"Adelie",4150
"Adelie",3500
"Adelie",4300
"Adelie",3450
"Adelie",4050
"Adelie",2900
"Adelie",3700
"Adelie",3550
"Adelie",3800
"Adelie",2850
"Adelie",3750
"Adelie",3150
"Adelie",4400
"Adelie",3600
"Adelie",4050
"Adelie",2850
"Adelie",3950
"Adelie",3350
"Adelie",4100
"Adelie",3050
"Adelie",4450
"Adelie",3600
"Adelie",3900
"Adelie",3550
"Adelie",4150
"Adelie",3700
"Adelie",4250
"Adelie",3700
"Adelie",3900
"Adelie",3550
"Adelie",4000
"Adelie",3200
"Adelie",4700
"Adelie",3800
"Adelie",4200
"Adelie",3350
"Adelie",3550
"Adelie",3800
"Adelie",3500
"Adelie",3950
"Adelie",3600
"Adelie",3550
"Adelie",4300
"Adelie",3400
"Adelie",4450
"Adelie",3300
"Adelie",4300
"Adelie",3700
"Adelie",4350
"Adelie",2900
"Adelie",4100
"Adelie",3725
"Adelie",4725
"Adelie",3075
"Adelie",4250
"Adelie",2925
"Adelie",3550
"Adelie",3750
"Adelie",3900
"Adelie",3175
"Adelie",4775
"Adelie",3825
"Adelie",4600
"Adelie",3200
"Adelie",4275
"Adelie",3900
"Adelie",4075
"Adelie",2900
"Adelie",3775
"Adelie",3350
"Adelie",3325
"Adelie",3150
"Adelie",3500
"Adelie",3450
"Adelie",3875
"Adelie",3050
"Adelie",4000
"Adelie",3275
"Adelie",4300
"Adelie",3050
"Adelie",4000
"Adelie",3325
"Adelie",3500
"Adelie",3500
"Adelie",4475
"Adelie",3425
"Adelie",3900
"Adelie",3175
"Adelie",3975
"Adelie",3400
"Adelie",4250
"Adelie",3400
"Adelie",3475
"Adelie",3050
"Adelie",3725
"Adelie",3000
"Adelie",3650
"Adelie",4250
"Adelie",3475
"Adelie",3450
"Adelie",3750
"Adelie",3700
"Adelie",4000
